@relation RELINK-zxing1.6 

@attribute CountLineCode numeric
@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountClassBase numeric
@attribute CountClassCoupled numeric
@attribute CountClassDerived numeric
@attribute CountDeclClassMethod numeric
@attribute CountDeclClassVariable numeric
@attribute CountDeclInstanceMethod numeric
@attribute CountDeclInstanceVariable numeric
@attribute CountDeclMethod numeric
@attribute CountDeclMethodAll numeric
@attribute CountDeclMethodPrivate numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclMethodPublic numeric
@attribute CountLine numeric
@attribute CountLineBlank numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineCodeExe numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute CountStmt numeric
@attribute CountStmtDecl numeric
@attribute CountStmtExe numeric
@attribute MaxCyclomatic numeric
@attribute MaxCyclomaticModified numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxInheritanceTree numeric
@attribute PercentLackOfCohesion numeric
@attribute RatioCommentToCode numeric
@attribute SumCyclomatic numeric
@attribute SumCyclomaticModified numeric
@attribute SumCyclomaticStrict numeric
@attribute SumEssential numeric
@attribute bug {0,1}


@data
36,2,2,3,1,12,1,11,0,1,3,0,0,0,3,1,3,22,0,1,1,45,9,12,16,0,27,30,14,16,5,5,7,3,33,0,7,7,9,3,1
4,1,1,1,1,3,0,3,0,2,1,0,0,0,1,0,1,1,0,0,1,4,0,1,1,0,1,3,2,1,1,1,1,1,0,0,1,1,1,1,0
7,1,1,1,1,5,0,5,0,2,1,0,0,0,1,0,1,1,0,0,1,7,0,4,1,0,2,4,3,1,1,1,1,1,0,0,1,1,1,1,0
10,1,1,1,1,4,0,4,0,2,1,0,0,0,2,1,2,2,0,0,2,10,0,5,2,0,5,7,5,2,1,1,1,1,0,0,2,2,2,2,0
112,13,13,27,4,71,4,50,16,1,1,0,1,6,1,0,2,2,1,0,1,164,12,27,59,40,46,71,24,47,25,25,54,1,58,0.36,26,26,55,9,0
7,1,1,1,1,3,0,2,0,1,0,0,1,1,1,0,2,4,1,0,1,11,3,4,1,1,2,4,3,1,1,1,1,3,50,0.14,2,2,2,2,0
61,1,1,1,1,8,0,8,0,1,0,0,5,2,2,1,7,10,4,0,3,82,9,13,37,14,40,50,13,37,3,3,4,2,52,0.23,11,11,12,7,1
13,1,1,1,1,3,0,3,0,1,2,0,0,0,3,2,3,3,0,0,3,17,4,6,4,0,6,9,5,4,1,1,1,1,33,0,3,3,3,3,0
44,3,3,3,1,15,1,13,1,1,0,0,0,0,3,3,3,3,0,0,3,70,10,14,20,16,24,33,13,20,7,7,8,1,22,0.36,9,9,10,3,0
22,1,1,1,1,3,0,3,0,1,1,0,0,0,5,3,5,5,1,0,4,22,0,9,7,0,10,15,8,7,1,1,1,1,40,0,5,5,5,5,0
7,1,1,1,1,3,0,2,0,1,0,0,1,1,1,0,2,4,1,0,1,11,3,4,1,1,2,4,3,1,1,1,1,3,50,0.14,2,2,2,2,0
7,1,1,1,1,3,0,2,0,1,0,0,1,1,1,0,2,4,1,0,1,11,3,4,1,1,2,4,3,1,1,1,1,3,50,0.14,2,2,2,2,0
139,2,2,2,1,7,0,6,0,1,0,0,1,0,19,2,20,20,2,0,18,222,22,35,63,63,75,105,43,62,7,7,8,1,44,0.45,41,41,43,24,0
13,2,2,2,1,9,0,9,0,1,0,0,0,0,1,2,1,1,1,0,0,14,1,4,6,0,6,8,3,5,2,2,2,1,0,0,2,2,2,1,0
65,2,2,2,1,12,0,10,1,1,14,0,0,0,6,1,6,6,1,0,5,113,13,26,23,35,44,52,30,22,4,4,4,1,66,0.54,15,15,15,6,1
67,3,1,3,1,8,0,8,0,1,1,0,1,9,5,3,6,6,1,0,5,88,10,21,36,14,35,45,20,25,10,4,10,1,77,0.21,18,10,18,6,1
24,1,1,1,1,12,0,12,1,1,1,0,0,0,1,0,1,1,0,0,0,30,3,11,8,4,14,17,9,8,1,1,1,2,0,0.17,1,1,1,1,0
12,1,1,1,1,3,0,3,0,1,0,0,0,0,2,2,2,2,0,1,0,16,4,6,3,0,5,7,4,3,1,1,1,2,0,0,2,2,2,2,0
123,3,3,3,1,16,0,15,0,1,10,0,2,7,4,2,6,6,3,0,2,136,11,41,61,2,76,93,38,55,5,5,5,2,87,0.02,19,19,19,6,0
32,1,1,1,1,4,0,4,0,1,8,0,1,0,6,1,7,26,1,1,4,41,9,13,10,0,10,19,10,9,2,2,2,3,28,0,8,8,8,7,1
231,6,6,8,5,30,1,27,2,1,7,0,4,4,4,2,8,16,4,0,4,299,24,59,127,50,132,166,59,107,13,13,21,2,72,0.22,51,48,64,40,1
29,1,1,1,1,3,0,3,0,1,0,0,4,3,1,0,5,5,2,0,3,54,9,10,11,18,13,19,8,11,2,2,2,1,73,0.62,6,6,6,5,0
203,6,5,7,4,30,1,27,1,1,7,0,6,4,1,0,7,15,6,0,1,239,21,53,111,22,113,145,53,92,13,10,19,2,82,0.11,44,41,54,33,0
383,7,7,7,4,37,2,32,2,1,11,0,3,7,8,2,11,25,8,0,3,461,41,114,198,39,220,287,108,179,29,29,29,3,86,0.1,77,77,85,44,0
375,3,3,4,2,19,1,16,2,1,16,0,21,2,1,0,22,22,6,0,4,520,48,111,187,105,210,277,109,168,11,11,11,1,95,0.28,83,83,91,54,0
90,2,2,2,1,12,0,11,0,1,5,0,2,2,5,1,7,26,1,3,2,121,16,24,51,15,57,67,22,45,6,4,6,3,80,0.17,18,14,19,10,1
26,1,1,1,1,4,0,4,0,1,1,0,0,0,5,4,5,5,0,0,5,32,6,10,10,0,13,19,9,10,2,2,3,1,60,0,6,6,7,5,1
54,1,1,1,1,12,0,12,0,1,7,0,2,0,2,2,4,4,3,0,1,60,6,17,29,0,36,43,16,27,4,4,4,2,50,0,7,7,7,7,0
22,1,1,1,1,10,0,10,0,1,1,0,0,0,1,0,1,1,0,0,0,28,3,10,7,3,12,15,8,7,1,1,1,2,0,0.14,1,1,1,1,0
129,5,5,6,1,25,0,25,0,1,0,0,4,0,1,0,5,5,1,0,1,136,7,27,76,0,82,97,31,66,8,8,10,1,0,0,28,28,32,8,0
54,2,2,3,1,13,1,12,0,1,3,0,1,1,3,1,4,23,1,1,1,106,13,18,24,39,36,42,18,24,6,6,8,3,62,0.72,11,11,13,6,1
171,9,9,10,6,49,4,40,5,1,5,0,3,5,1,0,4,12,3,0,1,232,28,39,87,41,91,119,44,75,14,14,17,2,75,0.24,38,38,42,25,0
142,1,1,1,1,5,0,5,0,1,3,0,1,1,24,10,25,25,0,0,25,214,30,39,75,43,71,98,38,60,2,2,14,1,81,0.3,27,27,42,25,0
64,3,3,4,2,15,0,12,3,1,5,0,2,2,3,0,5,5,2,0,3,119,10,18,28,46,30,45,19,26,5,5,8,1,80,0.72,17,17,21,12,0
22,1,1,1,1,4,0,4,0,1,1,0,0,0,4,3,4,4,0,0,4,28,6,8,9,0,9,13,7,6,1,1,1,1,50,0,4,4,4,4,0
261,6,6,6,3,38,4,32,2,1,17,0,3,5,4,4,7,7,3,2,2,319,41,51,166,20,145,192,45,147,20,20,22,2,73,0.08,43,43,47,25,1
85,3,3,5,2,19,1,16,1,2,15,1,1,1,4,1,5,5,0,1,4,125,17,26,39,23,46,64,27,37,12,12,17,1,70,0.27,19,19,25,11,1
382,22,14,23,6,101,8,85,8,1,7,0,2,16,1,0,3,11,2,0,1,440,35,165,175,46,149,187,60,127,52,27,54,2,56,0.12,67,42,69,18,1
14,1,1,1,1,3,0,3,0,1,0,1,0,0,3,2,3,3,0,0,3,19,5,6,4,0,6,9,5,4,1,1,1,1,33,0,3,3,3,3,0
17,2,2,2,1,7,0,7,0,1,1,0,1,0,1,0,2,2,1,0,1,27,3,7,5,7,9,12,7,5,3,3,4,1,0,0.41,4,4,5,2,0
36,1,1,1,1,4,0,4,0,1,0,0,0,0,7,1,7,7,0,0,7,47,11,15,13,0,14,21,10,11,3,3,3,2,28,0,9,9,9,7,0
15,1,1,1,1,5,0,5,0,2,1,0,0,0,2,2,2,2,0,0,2,18,3,7,5,0,8,11,6,5,1,1,1,1,0,0,2,2,2,2,0
4,1,1,1,1,3,0,3,0,3,0,0,0,0,1,0,1,1,0,0,1,4,0,1,1,0,1,3,2,1,1,1,1,1,0,0,1,1,1,1,0
38,1,1,1,1,5,0,5,0,1,2,0,0,1,5,0,5,44,0,0,5,43,5,16,15,0,12,18,8,10,3,2,3,2,60,0,7,6,7,5,1
6,1,1,1,1,5,0,5,0,2,0,0,0,0,1,0,1,1,0,0,1,6,0,2,2,0,3,5,3,2,1,1,1,1,0,0,1,1,1,1,0
26,4,4,4,4,13,1,12,0,2,9,0,0,0,2,0,2,2,0,0,2,31,5,6,16,0,10,19,4,15,7,7,7,1,0,0,8,8,8,8,0
125,2,2,3,1,8,0,8,0,1,1,0,0,0,14,4,14,14,0,0,14,193,17,35,56,51,72,96,41,55,6,6,9,1,42,0.41,33,33,42,21,0
8,1,1,1,1,3,0,3,0,2,0,0,0,0,2,0,2,2,0,0,2,11,3,3,2,0,2,3,1,2,1,1,1,2,0,0,2,2,2,2,0
119,4,4,4,1,17,0,16,0,1,3,0,3,1,4,1,7,18,4,0,3,146,12,38,52,15,74,93,43,50,10,10,10,3,78,0.13,28,28,29,7,1
80,3,3,5,1,14,0,12,1,2,10,0,0,0,6,2,6,6,1,0,5,132,13,26,34,39,33,51,18,33,10,10,22,1,50,0.49,19,19,31,8,1
31,1,1,1,1,5,0,5,0,1,0,0,1,8,3,1,4,4,1,0,3,83,16,15,9,36,17,23,14,9,3,3,4,1,86,1.16,6,6,7,6,1
174,3,3,3,1,16,1,13,1,1,1,0,3,4,9,5,12,12,5,0,0,252,38,48,88,41,89,129,49,80,14,14,16,1,82,0.24,38,38,42,18,1
47,1,1,1,1,2,0,2,0,1,0,0,0,0,1,0,1,1,1,0,0,168,29,35,0,92,23,29,29,0,1,1,1,1,0,1.96,1,1,1,1,1
78,3,3,3,1,22,0,18,3,1,2,0,2,0,2,3,4,4,2,0,1,100,5,25,40,18,45,58,25,33,5,5,6,2,50,0.23,12,12,13,4,0
41,10,10,16,7,46,5,40,1,1,5,0,1,0,0,0,1,17,0,0,1,48,6,13,20,1,22,33,13,20,10,10,16,3,0,0.02,10,10,16,7,0
13,1,1,1,1,6,1,5,0,1,0,0,0,1,2,0,2,3,0,0,2,17,4,8,2,0,7,10,8,2,1,1,1,3,0,0,2,2,2,2,0
18,1,1,1,1,11,3,8,0,1,10,0,1,0,1,0,2,2,1,0,1,28,9,12,3,1,12,15,12,3,1,1,1,2,0,0.06,2,2,2,2,0
21,1,1,1,1,7,1,6,0,1,1,0,0,1,3,0,3,4,0,0,3,29,7,10,6,1,10,15,10,5,2,2,2,3,0,0.05,4,4,4,3,0
107,3,3,3,1,18,0,17,0,2,14,0,0,0,6,1,6,6,5,0,1,131,10,18,68,16,55,75,17,58,12,12,14,1,66,0.15,18,18,20,11,0
8,1,1,1,1,7,1,6,0,1,3,0,0,0,1,0,1,1,0,0,1,11,3,5,1,0,4,6,5,1,1,1,1,2,0,0,1,1,1,1,0
51,1,1,1,1,8,0,8,0,1,3,0,0,4,5,1,5,9,1,0,4,61,7,23,19,4,32,39,21,18,2,2,2,3,60,0.08,9,9,9,5,1
23,1,1,1,1,3,0,3,0,2,0,0,0,0,6,2,6,6,1,0,5,31,8,9,7,0,9,14,7,7,1,1,1,1,50,0,6,6,6,6,0
37,1,1,1,1,36,1,35,0,1,4,0,0,0,1,0,1,1,0,0,1,39,2,20,15,0,32,34,19,15,1,1,1,2,0,0,1,1,1,1,0
30,2,2,2,1,14,0,14,0,1,3,0,0,0,2,0,2,6,0,0,2,38,4,17,8,4,20,23,15,8,3,3,3,3,0,0.13,4,4,4,2,0
147,1,1,1,1,6,1,5,0,1,7,0,1,0,27,0,28,28,1,0,27,206,59,89,29,0,89,118,89,29,1,1,1,2,0,0,28,28,28,28,0
103,1,1,1,1,7,1,5,0,1,7,0,1,0,18,0,19,19,1,0,18,172,51,64,19,18,62,82,63,19,1,1,1,2,0,0.17,19,19,19,19,0
14,1,1,1,1,6,0,6,0,2,1,0,0,0,2,1,2,2,0,0,2,14,0,5,5,0,6,9,5,4,2,2,2,1,0,0,3,3,3,2,0
14,1,1,1,1,3,0,3,0,1,0,0,0,0,3,2,3,3,0,0,2,17,3,6,4,0,6,9,5,4,1,1,1,1,33,0,3,3,3,3,0
30,1,1,1,1,5,0,5,0,1,1,0,0,0,4,3,4,4,0,0,4,44,6,15,10,8,17,21,11,10,1,1,1,2,50,0.27,4,4,4,4,0
30,1,1,1,1,4,0,4,0,1,1,0,0,4,5,3,5,11,0,0,4,37,7,13,11,0,16,22,12,10,2,2,2,2,77,0,6,6,6,5,0
84,1,1,1,1,6,0,6,0,1,3,0,0,0,12,6,12,12,0,0,12,117,14,30,34,19,34,53,21,32,4,4,4,1,76,0.23,20,20,22,12,1
122,1,1,1,1,11,0,11,0,1,1,0,9,9,1,0,10,10,2,0,8,208,19,55,50,69,40,57,28,29,3,3,3,1,87,0.57,15,15,15,12,0
9,1,1,1,1,7,0,7,0,1,0,0,0,0,1,0,1,15,0,0,1,11,2,2,5,0,5,6,1,5,1,1,1,4,0,0,1,1,1,1,0
237,2,2,2,1,15,1,13,0,1,6,0,0,7,8,9,8,8,4,1,2,291,28,73,125,28,137,175,66,109,5,5,6,2,78,0.12,20,20,23,8,0
35,3,3,4,2,19,1,16,2,1,2,0,2,0,0,0,2,17,1,0,1,43,5,14,13,4,19,26,14,12,5,5,5,2,0,0.11,7,7,9,4,1
19,1,1,1,1,8,0,6,1,2,0,0,0,2,2,2,2,2,0,0,1,28,6,8,7,3,10,14,8,6,2,2,2,1,25,0.16,3,3,3,2,0
213,2,2,3,1,15,0,14,0,3,2,0,0,2,14,8,14,14,3,4,7,237,21,48,123,4,122,161,51,110,9,9,11,1,74,0.02,39,39,46,18,1
70,1,1,1,1,9,0,8,0,1,2,0,1,3,6,0,7,46,1,0,6,84,11,27,29,3,30,43,19,24,3,3,4,2,80,0.04,11,11,12,7,1
43,2,2,2,2,9,0,9,0,1,1,0,0,0,4,2,4,4,0,1,2,48,4,16,18,1,22,29,13,16,5,5,5,2,50,0.02,8,8,8,8,0
70,1,1,1,1,21,3,17,2,1,9,0,0,0,4,0,4,4,0,0,4,92,18,42,22,8,57,63,42,21,2,2,2,2,0,0.11,5,5,5,4,0
154,2,2,2,1,9,0,8,0,2,3,0,2,0,14,9,16,16,10,0,6,203,22,41,80,28,86,126,39,87,8,8,8,1,83,0.18,39,39,41,23,1
217,1,1,1,1,9,0,9,1,1,5,0,2,0,21,0,23,23,2,0,21,282,27,28,166,60,123,147,27,120,1,1,1,2,0,0.28,23,23,23,23,1
23,2,2,2,2,11,1,10,0,1,2,0,0,0,2,0,2,2,0,0,1,27,4,7,11,0,9,13,5,8,3,3,3,2,0,0,4,4,4,4,0
19,1,1,1,1,3,0,3,0,1,0,0,0,0,4,3,4,4,0,0,3,20,1,8,6,0,9,13,7,6,1,1,1,1,50,0,4,4,4,4,0
41,1,1,1,1,5,0,5,0,1,1,0,0,1,5,0,5,44,0,0,5,47,6,17,17,0,14,20,7,13,5,2,5,2,60,0,9,6,9,5,1
233,2,2,2,1,14,0,13,0,2,4,0,3,2,13,12,16,16,10,0,6,271,31,74,122,7,140,179,69,110,4,4,7,1,81,0.03,33,33,40,26,1
38,1,1,1,1,12,0,12,2,1,4,0,0,0,3,0,3,3,0,0,3,44,5,13,21,9,27,31,10,21,1,1,1,2,0,0.24,3,3,3,3,1
35,1,1,1,1,8,0,8,0,1,2,0,0,2,4,0,4,4,0,0,4,43,5,13,18,3,17,22,10,12,1,1,1,2,50,0.09,4,4,4,4,1
7,1,1,1,1,2,0,2,0,1,0,0,0,3,1,0,1,1,1,0,0,19,3,5,0,9,3,4,4,0,1,1,1,1,100,1.29,1,1,1,1,0
62,1,1,1,1,7,0,7,0,2,3,0,0,0,8,3,8,8,2,0,6,76,13,18,29,1,31,45,16,29,3,3,3,1,58,0.02,14,14,14,8,1
13,1,1,1,1,7,0,7,0,1,0,0,0,0,1,4,1,1,0,0,1,13,0,6,5,0,9,10,5,5,1,1,1,1,0,0,1,1,1,1,0
36,4,4,4,4,11,0,11,0,1,16,0,2,0,1,0,3,3,2,0,1,39,2,6,25,1,15,29,5,24,12,12,12,1,0,0.03,14,14,14,14,0
19,2,2,3,2,9,0,9,0,1,3,0,1,0,1,0,2,19,1,0,1,21,2,7,7,0,8,13,6,7,4,4,5,3,0,0,5,5,6,5,0
11,1,1,1,1,3,0,3,0,2,1,0,0,0,2,2,2,2,0,0,2,13,2,5,3,0,5,7,4,3,1,1,1,1,0,0,2,2,2,2,1
41,3,3,4,2,22,1,19,2,1,2,0,2,0,0,0,2,19,1,0,1,50,5,15,19,4,18,25,15,10,4,4,6,3,0,0.1,6,6,8,4,1
136,1,1,1,1,6,0,6,0,1,1,0,0,2,19,14,19,25,0,0,18,161,24,43,72,1,78,97,37,60,2,2,14,2,77,0.01,20,20,32,19,0
116,5,5,7,4,31,1,28,1,1,3,0,0,1,4,1,4,4,2,0,2,178,13,38,59,49,60,78,32,46,10,10,13,1,50,0.42,21,21,28,18,1
34,1,1,1,1,4,0,4,0,1,0,0,0,1,7,2,7,9,0,0,0,47,13,11,13,0,14,23,10,13,3,3,5,2,38,0,9,9,12,9,0
148,3,3,4,1,17,0,16,0,1,2,0,1,1,7,2,8,47,2,0,6,168,16,46,76,5,76,101,39,62,7,7,9,2,75,0.03,30,24,37,13,1
21,1,1,1,1,6,0,6,0,1,6,0,1,0,2,0,3,3,1,0,2,24,3,7,11,0,13,17,7,10,1,1,1,2,0,0,3,3,3,3,1
28,7,3,7,7,27,0,27,6,2,7,0,0,0,1,0,1,1,0,0,1,29,1,1,22,6,14,18,2,16,7,3,7,1,0,0.21,7,3,7,7,0
7,1,1,1,1,5,0,5,0,1,2,0,0,0,1,0,1,11,0,0,1,8,1,2,3,0,3,4,1,3,1,1,1,3,0,0,1,1,1,1,0
34,1,1,1,1,3,0,3,0,1,0,0,2,1,5,4,7,7,0,0,6,43,9,16,10,0,15,22,12,10,1,1,1,1,71,0,7,7,7,7,0
18,1,1,1,1,5,0,5,0,1,1,0,0,0,3,0,3,16,0,2,0,22,4,4,8,0,5,10,3,7,2,2,2,5,0,0,5,5,5,3,0
58,2,2,2,1,11,1,10,0,1,3,0,0,3,5,2,5,16,1,2,1,71,13,17,30,0,36,46,16,30,5,5,5,4,68,0,10,10,10,5,0
343,9,8,9,7,35,1,31,6,1,3,0,9,11,1,0,10,10,9,0,0,428,28,69,225,92,174,243,56,187,20,20,20,1,82,0.27,90,80,92,72,1
8,2,2,2,1,7,0,6,1,2,0,0,0,0,1,0,1,1,0,0,1,9,0,3,2,1,2,5,3,2,2,2,2,1,0,0.13,2,2,2,1,0
42,2,2,2,2,18,0,18,0,2,3,0,0,0,2,4,2,2,0,0,1,46,4,17,20,0,27,32,13,19,4,4,4,1,0,0,5,5,5,5,0
26,3,2,3,2,12,0,11,1,2,4,0,0,0,2,1,2,2,1,0,1,27,0,5,16,2,12,16,4,12,5,3,5,1,0,0.08,6,4,6,5,0
306,5,4,6,4,19,2,16,0,1,9,0,1,0,17,3,18,18,13,0,0,379,67,53,180,10,159,230,57,173,26,6,29,1,62,0.03,102,78,116,86,0
9,1,1,1,1,7,0,7,0,1,0,0,0,0,1,0,1,15,0,0,1,11,2,2,5,0,5,6,1,5,1,1,1,4,0,0,1,1,1,1,1
25,1,1,1,1,5,0,5,0,1,6,0,2,0,2,0,4,4,2,0,2,30,5,8,12,0,15,20,8,12,1,1,1,2,0,0,4,4,4,4,1
13,1,1,1,1,3,0,3,0,1,2,0,1,0,2,0,3,3,1,0,2,16,3,6,3,0,5,9,6,3,1,1,1,2,0,0,3,3,3,3,0
61,1,1,1,1,8,0,8,0,1,6,0,1,0,6,0,7,7,1,0,6,68,7,21,33,0,21,29,11,18,1,1,1,2,0,0,7,7,7,7,1
91,2,2,2,1,9,0,8,0,1,0,0,8,3,1,0,9,9,7,0,0,110,17,20,49,2,39,59,18,41,6,6,6,1,81,0.02,23,23,23,14,0
174,8,8,9,4,56,5,40,14,1,9,0,0,5,4,0,4,18,1,0,1,278,35,48,90,85,104,129,51,78,16,16,19,2,75,0.49,33,33,39,18,0
82,2,2,2,1,12,1,10,0,1,0,0,0,0,7,5,7,16,0,0,7,101,15,34,32,4,52,64,32,32,4,4,5,2,42,0.05,15,15,19,9,1
38,1,1,1,1,4,0,4,0,1,1,0,1,2,7,2,8,8,1,0,7,71,12,14,13,21,16,26,13,13,2,2,2,1,65,0.55,9,9,9,8,0
134,9,6,15,6,38,2,33,3,1,3,0,3,0,1,0,4,19,3,0,1,160,12,31,86,14,66,90,32,58,17,17,41,2,0,0.1,36,26,60,27,0
37,1,1,1,1,11,1,10,0,1,0,0,0,5,2,1,2,2,0,2,0,46,8,20,13,1,18,22,11,11,2,2,2,2,41,0.03,3,3,3,2,1
25,2,2,3,2,12,0,12,0,1,3,0,2,0,0,0,2,18,0,0,1,28,2,12,8,1,14,20,12,8,4,4,6,3,0,0.04,5,5,7,5,0
63,3,3,4,2,12,0,12,0,1,3,0,2,1,0,0,2,18,0,0,1,66,3,47,10,20,13,20,10,10,4,4,6,3,50,0.32,6,6,8,5,0
51,1,1,1,1,7,0,7,0,1,2,0,0,1,5,0,5,44,0,0,5,56,5,18,24,0,18,26,10,16,1,1,1,2,60,0,5,5,5,5,1
38,1,1,1,1,5,0,5,0,1,2,0,0,0,6,1,6,45,0,0,6,48,7,18,12,3,16,24,12,12,2,2,2,2,66,0.08,8,8,8,6,0
15,1,1,1,1,7,0,7,0,1,6,0,1,0,1,0,2,2,1,0,1,17,2,6,7,0,10,13,6,7,1,1,1,2,0,0,2,2,2,2,1
15,1,1,1,1,7,1,6,0,1,3,0,0,1,2,0,2,9,0,0,1,21,5,7,5,2,9,11,6,5,1,1,1,3,50,0.13,2,2,2,2,0
7,1,1,1,1,5,0,5,0,1,2,0,0,0,1,0,1,11,0,0,1,8,1,2,3,0,3,4,1,3,1,1,1,3,0,0,1,1,1,1,0
7,1,1,1,1,5,0,5,0,1,2,0,0,0,1,0,1,11,0,0,1,8,1,2,3,0,3,4,1,3,1,1,1,3,0,0,1,1,1,1,0
22,1,1,1,1,3,0,3,0,1,1,0,0,0,5,2,5,5,0,0,0,28,6,8,8,0,10,13,5,8,1,1,1,1,19,0,5,5,5,5,0
23,1,1,1,1,12,2,9,0,1,4,0,0,2,2,0,2,9,0,0,1,32,9,10,9,0,13,16,7,9,2,2,2,3,50,0,3,3,3,2,0
33,2,2,2,1,17,3,14,0,1,4,0,0,3,2,0,2,9,0,0,1,43,10,13,14,0,18,23,9,14,4,4,4,3,50,0,5,5,5,2,0
10,1,1,1,1,3,0,3,0,1,3,0,0,1,2,0,2,5,0,0,1,13,3,5,2,0,4,6,4,2,1,1,1,2,50,0,2,2,2,2,0
11,1,1,1,1,3,0,3,0,1,1,0,0,0,3,0,3,16,0,2,0,14,3,4,3,0,3,6,3,3,1,1,1,5,0,0,3,3,3,3,0
26,1,1,1,1,4,0,4,0,1,0,0,0,0,5,3,5,7,0,0,0,31,5,9,11,0,14,18,7,11,1,1,1,2,40,0,5,5,5,5,0
29,1,1,1,1,3,0,3,0,1,0,0,0,3,7,2,7,7,0,0,0,38,9,13,8,0,13,20,12,8,1,1,1,1,57,0,7,7,7,7,0
64,1,1,1,1,10,0,10,0,1,6,0,1,0,5,0,6,6,1,0,5,70,6,16,42,0,16,23,10,13,1,1,1,2,0,0,6,6,6,6,1
43,1,1,1,1,5,0,5,0,2,3,0,0,0,7,2,7,7,1,0,6,52,9,13,19,0,20,30,11,19,2,2,2,1,57,0,10,10,10,7,1
12,2,2,2,1,12,0,11,1,1,1,0,0,0,1,0,1,1,0,0,1,14,1,2,8,1,6,9,2,7,2,2,2,2,0,0.08,2,2,2,1,0
