Test,Scenario,Model,tp,fp,tn,fn,SNM_precision,SNM_recall,SNM_fscore,SNM_fpr,SNM_ifa,SNM_ap,SNM_rr,SNM_cr,SNM_roi,SNM_mcc,SNM_ifap,SNM_cr_ifa,SNM_pii_ifa,tp20,fp20,tn20,fn20,SSC_precision,SSC_recall,SSC_fscore,SSC_fpr,SSC_ifa,SSC_ap,SSC_rr,SSC_pii,SSC_roi,SSC_mcc,SSC_ifap,SSC_cr_ifa,SSC_pii_ifa,SSC_rcr
ALLJURECZKO-ckjm,cpdp,CLA,3,1,4,2,0.75,0.6,0.666666667,0.2,0,0.729166667,1,0.682096664,0.879640719,0.40824829,0,0,0,1,0,5,4,1,0.2,0.333333333,0,0,1,1,0.1,3.766666667,0.333333333,0,0,0,0.530973451
ALLJURECZKO-e-learning,cpdp,CLA,5,23,36,0,0.178571429,1,0.303030303,0.389830508,11,0.075688664,0.083333333,0.803242649,1.244953815,0.330089136,0.025552178,0.148667216,0.171875,1,12,47,4,0.076923077,0.2,0.111111111,0.203389831,11,0.012327416,0.083333333,0.203125,1.060063723,-0.002261165,0.025552178,0.148667216,0.171875,0.928826601
ALLJURECZKO-forrest-0.7,cpdp,CLA,2,10,14,3,0.166666667,0.4,0.235294118,0.416666667,8,0.05496633,0.111111111,0.659432049,0.60658259,-0.01278275,0.089809051,0.325557809,0.275862069,0,5,19,5,0,0,NaN,0.208333333,8,0,0.111111111,0.172413793,0,-0.208333333,0.089809051,0.325557809,0.275862069,0.80020284
ALLJURECZKO-ivy-1.1,cpdp,CLA,29,11,37,34,0.725,0.46031746,0.563106796,0.229166667,3,0.550519983,0.25,0.756338854,0.608612737,0.23852127,3.51E-04,0.012970834,0.027027027,18,8,40,45,0.692307692,0.285714286,0.404494382,0.166666667,3,0.471136158,0.25,0.234234234,1.236865754,0.139256498,3.51E-04,0.012970834,0.027027027,0.986186428
ALLJURECZKO-ivy-1.4,cpdp,CLA,8,75,150,8,0.096385542,0.5,0.161616162,0.333333333,5,0.064689809,0.166666667,0.751897581,0.664984185,0.087323757,1.34E-04,0.006477077,0.020746888,3,51,174,13,0.055555556,0.1875,0.085714286,0.226666667,5,0.056305493,0.166666667,0.22406639,0.854770058,-0.023385689,1.34E-04,0.006477077,0.020746888,0.978983234
ALLJURECZKO-ivy-2.0,cpdp,CLA,27,93,219,13,0.225,0.675,0.3375,0.298076923,26,0.088071649,0.037037037,0.792193143,0.852064936,0.252362839,0.002702277,0.036584671,0.073863636,7,65,247,33,0.097222222,0.175,0.125,0.208333333,26,0.04283107,0.037037037,0.204545455,0.87692696,-0.026226526,0.002702277,0.036584671,0.073863636,0.975629208
ALLJURECZKO-jedit-3.2,cpdp,CLA,61,36,146,29,0.628865979,0.677777778,0.652406417,0.197802198,0,0.560433054,1,0.765958272,0.88487559,0.471488603,0,0,0,42,28,154,48,0.6,0.466666667,0.525,0.153846154,0,0.530675985,1,0.257352941,1.863550275,0.336687868,0,0,0,0.973053079
ALLJURECZKO-jedit-4.0,cpdp,CLA,50,55,176,25,0.476190476,0.666666667,0.555555556,0.238095238,0,0.321491161,1,0.612273226,1.088838509,0.388299792,0,0,0,30,45,186,45,0.4,0.4,0.4,0.194805195,0,0.27272343,1,0.245098039,1.662575602,0.205194805,0,0,0,0.981609497
ALLJURECZKO-jedit-4.1,cpdp,CLA,55,56,177,24,0.495495495,0.696202532,0.578947368,0.240343348,0,0.302748088,1,0.778616081,0.894153805,0.414059446,0,0,0,31,46,187,48,0.402597403,0.392405063,0.397435897,0.197424893,0,0.238740928,1,0.246794872,1.61235442,0.196653943,0,0,0,0.986138601
ALLJURECZKO-jedit-4.2,cpdp,CLA,42,113,206,6,0.270967742,0.875,0.413793103,0.354231975,13,0.142810507,0.071428571,0.795591828,1.09981019,0.355489266,4.02E-04,0.011360241,0.035422343,17,82,237,31,0.171717172,0.354166667,0.231292517,0.257053292,13,0.099421372,0.071428571,0.269754768,1.333451988,0.073775135,4.02E-04,0.011360241,0.035422343,0.984603036
ALLJURECZKO-jedit-4.3,cpdp,CLA,7,188,293,4,0.035897436,0.636363636,0.067961165,0.390852391,66,0.011488825,0.014925373,0.76684473,0.829846789,0.074206977,0.009989896,0.074470135,0.134146341,2,118,363,9,0.016666667,0.181818182,0.030534351,0.245322245,66,0.00509315,0.014925373,0.243902439,0.748480082,-0.021862927,0.009989896,0.074470135,0.134146341,0.995957759
ALLJURECZKO-kalkulator,cpdp,CLA,1,9,12,5,0.1,0.166666667,0.125,0.428571429,9,0.01,0.1,0.61437096,0.271280183,-0.225478017,0.154317918,0.462953754,0.333333333,0,5,16,6,0,0,NaN,0.238095238,9,0,0.1,0.185185185,0,-0.254823596,0.154317918,0.462953754,0.333333333,0.850323222
ALLJURECZKO-log4j-1.0,cpdp,CLA,22,20,81,12,0.523809524,0.647058824,0.578947368,0.198019802,3,0.382416117,0.25,0.596500998,1.08475732,0.421034912,1.83E-04,0.008213838,0.022222222,10,15,86,24,0.4,0.294117647,0.338983051,0.148514851,3,0.339493581,0.25,0.185185185,1.60454207,0.162705979,1.83E-04,0.008213838,0.022222222,0.989837115
ALLJURECZKO-log4j-1.1,cpdp,CLA,25,16,56,12,0.609756098,0.675675676,0.641025641,0.222222222,5,0.39131103,0.166666667,0.646554318,1.045040852,0.443254792,7.89E-04,0.01720333,0.04587156,11,11,61,26,0.5,0.297297297,0.372881356,0.152777778,5,0.263378858,0.166666667,0.201834862,1.527601307,0.170499321,7.89E-04,0.01720333,0.04587156,0.964239141
ALLJURECZKO-log4j-1.2,cpdp,CLA,80,3,13,109,0.963855422,0.423280423,0.588235294,0.1875,0,0.956058477,1,0.739284125,0.572554461,0.128848591,0,0,0,44,1,15,145,0.977777778,0.232804233,0.376068376,0.0625,0,0.953075227,1,0.219512195,1.087489998,0.110369757,0,0,0,0.975229766
ALLJURECZKO-lucene-2.0,cpdp,CLA,51,29,75,40,0.6375,0.56043956,0.596491228,0.278846154,4,0.499291978,0.2,0.726045537,0.771906901,0.285605084,8.68E-05,0.004229583,0.020512821,25,23,81,66,0.520833333,0.274725275,0.35971223,0.221153846,4,0.443529269,0.2,0.246153846,1.125772528,0.062042788,8.68E-05,0.004229583,0.020512821,0.991382718
ALLJURECZKO-lucene-2.2,cpdp,CLA,86,44,59,58,0.661538462,0.597222222,0.627737226,0.427184466,0,0.60937346,1,0.848311337,0.704013015,0.167911568,0,0,0,48,28,75,96,0.631578947,0.333333333,0.436363636,0.27184466,0,0.591614229,1,0.307692308,1.09637162,0.065688619,0,0,0,0.988107785
ALLJURECZKO-lucene-2.4,cpdp,CLA,94,21,116,109,0.817391304,0.463054187,0.591194969,0.153284672,0,0.843694649,1,0.679250236,0.681713694,0.321149167,0,0,0,59,17,120,144,0.776315789,0.290640394,0.422939068,0.124087591,0,0.864954234,1,0.223529412,1.305806496,0.196088213,0,0,0,0.995732022
ALLJURECZKO-nieruchomosci,cpdp,CLA,5,6,11,5,0.454545455,0.5,0.476190476,0.352941176,5,0.158854782,0.166666667,0.58708456,0.85166607,0.144530403,0.024462831,0.132099285,0.185185185,1,5,12,9,0.166666667,0.1,0.125,0.294117647,5,0.027777778,0.166666667,0.222222222,0.488982857,-0.225478017,0.024462831,0.132099285,0.185185185,0.920277661
ALLJURECZKO-pbeans1,cpdp,CLA,8,0,6,12,1,0.4,0.571428571,0,0,1,1,0.856066045,0.467253669,0.365148372,0,0,0,6,0,6,14,1,0.3,0.461538462,0,0,1,1,0.230769231,1.469290061,0.3,0,0,0,0.884781048
ALLJURECZKO-pbeans2,cpdp,CLA,6,10,31,4,0.375,0.6,0.461538462,0.243902439,1,0.26184666,0.5,0.865520661,0.693224353,0.304696113,1.02E-04,0.00522314,0.019607843,3,9,32,7,0.25,0.3,0.272727273,0.219512195,1,0.240650553,0.5,0.235294118,1.369142705,0.075335398,1.02E-04,0.00522314,0.019607843,0.931239669
ALLJURECZKO-pdftranslator,cpdp,CLA,12,4,14,3,0.75,0.8,0.774193548,0.222222222,0,0.698890172,1,0.895061728,0.893793103,0.575649676,0,0,0,6,3,15,9,0.666666667,0.4,0.5,0.166666667,0,0.709920635,1,0.272727273,1.549565217,0.260874597,0,0,0,0.946502058
ALLJURECZKO-poi-1.5,cpdp,CLA,74,20,76,67,0.787234043,0.524822695,0.629787234,0.208333333,0,0.77361373,1,0.738724111,0.710444789,0.31759404,0,0,0,35,12,84,106,0.744680851,0.24822695,0.372340426,0.125,0,0.755032913,1,0.198312236,1.281594063,0.15171382,0,0,0,0.97667244
ALLJURECZKO-poi-2.0,cpdp,CLA,21,103,174,16,0.169354839,0.567567568,0.260869565,0.371841155,0,0.131080101,1,0.778568439,0.728988666,0.129092954,0,0,0,6,64,213,31,0.085714286,0.162162162,0.112149533,0.231046931,0,0.145974755,1,0.222929936,0.727577117,-0.053360516,0,0,0,0.999774608
ALLJURECZKO-poi-2.5,cpdp,CLA,117,39,98,131,0.75,0.471774194,0.579207921,0.284671533,0,0.651496322,1,0.75722244,0.623032505,0.182467721,0,0,0,62,27,110,186,0.696629213,0.25,0.367952522,0.197080292,0,0.594212549,1,0.231168831,1.088012503,0.060098372,0,0,0,0.993978168
ALLJURECZKO-poi-3.0,cpdp,CLA,147,14,147,134,0.913043478,0.523131673,0.665158371,0.086956522,0,0.919090075,1,0.730551238,0.716078004,0.436175151,0,0,0,85,9,152,196,0.904255319,0.302491103,0.453333333,0.055900621,0,0.922596221,1,0.212669683,1.442846412,0.289993897,0,0,0,0.985795696
ALLJURECZKO-redaktor,cpdp,CLA,21,64,85,6,0.247058824,0.777777778,0.375,0.429530201,3,0.288918617,0.25,0.712921727,1.090972189,0.251149871,7.99E-05,0.004689609,0.017045455,15,32,117,12,0.319148936,0.555555556,0.405405405,0.214765101,3,0.299293188,0.25,0.267045455,2.155839921,0.277599484,7.99E-05,0.004689609,0.017045455,0.964996626
ALLJURECZKO-serapion,cpdp,CLA,7,12,24,2,0.368421053,0.777777778,0.5,0.333333333,2,0.195556117,0.333333333,0.827225131,0.940225035,0.359937017,6.26E-04,0.014088529,0.044444444,1,10,26,8,0.090909091,0.111111111,0.1,0.277777778,2,0.138170668,0.333333333,0.244444444,0.500524109,-0.155126307,6.26E-04,0.014088529,0.044444444,0.908138981
ALLJURECZKO-skarbonka,cpdp,CLA,7,10,26,2,0.411764706,0.777777778,0.538461538,0.277777778,0,0.523498565,1,0.776964535,1.001046692,0.412514324,0,0,0,4,4,32,5,0.5,0.444444444,0.470588235,0.111111111,0,0.586904762,1,0.177777778,3.092386831,0.348742916,0,0,0,0.808437022
ALLJURECZKO-sklebagd,cpdp,CLA,8,3,5,4,0.727272727,0.666666667,0.695652174,0.375,1,0.479427391,0.5,0.832951468,0.800366758,0.287213479,4.06E-04,0.008123308,0.05,2,3,5,10,0.4,0.166666667,0.235294118,0.375,1,0.296666667,0.5,0.25,0.720870871,-0.23570226,4.06E-04,0.008123308,0.05,0.924807332
ALLJURECZKO-synapse-1.0,cpdp,CLA,7,30,111,9,0.189189189,0.4375,0.264150943,0.212765957,12,0.074171258,0.076923077,0.442199542,0.98937235,0.160194251,0.005333284,0.06977713,0.076433121,2,22,119,14,0.083333333,0.125,0.1,0.156028369,12,0.035456918,0.076923077,0.152866242,0.874996517,-0.026085373,0.005333284,0.06977713,0.076433121,0.934527529
ALLJURECZKO-synapse-1.1,cpdp,CLA,27,58,104,33,0.317647059,0.45,0.372413793,0.358024691,7,0.170004424,0.125,0.690109215,0.652070702,0.084030053,5.61E-04,0.017800577,0.031531532,9,36,126,51,0.2,0.15,0.171428571,0.222222222,7,0.103163902,0.125,0.202702703,0.749155917,-0.079783134,5.61E-04,0.017800577,0.031531532,0.987778356
ALLJURECZKO-synapse-1.2,cpdp,CLA,58,53,117,28,0.522522523,0.674418605,0.588832487,0.311764706,2,0.402645982,0.333333333,0.724130841,0.931349097,0.345637254,1.43E-05,0.001831776,0.0078125,23,37,133,63,0.383333333,0.26744186,0.315068493,0.217647059,2,0.356985163,0.333333333,0.234375,1.162377418,0.055520585,1.43E-05,0.001831776,0.0078125,0.981682243
ALLJURECZKO-systemdata,cpdp,CLA,7,19,37,2,0.269230769,0.777777778,0.4,0.339285714,3,0.178944707,0.25,0.852729745,0.912103491,0.309142011,8.25E-04,0.01787449,0.046153846,4,11,45,5,0.266666667,0.444444444,0.333333333,0.196428571,3,0.148484663,0.25,0.230769231,2.202015714,0.203312515,8.25E-04,0.01787449,0.046153846,0.874619519
ALLJURECZKO-szybkafucha,cpdp,CLA,8,2,9,6,0.8,0.571428571,0.666666667,0.181818182,0,0.867539683,1,0.642408377,0.889509838,0.394771017,0,0,0,4,1,10,10,0.8,0.285714286,0.421052632,0.090909091,0,0.96,1,0.2,1.53722334,0.241746889,0,0,0,0.929319372
ALLJURECZKO-termoproject,cpdp,CLA,7,8,21,6,0.466666667,0.538461538,0.5,0.275862069,8,0.146468346,0.111111111,0.835902415,0.644167942,0.253359392,0.031950248,0.167738803,0.19047619,0,8,21,13,0,0,NaN,0.275862069,8,0,0.111111111,0.19047619,0,-0.324771725,0.031950248,0.167738803,0.19047619,0.838694016
ALLJURECZKO-tomcat,cpdp,CLA,55,188,593,22,0.226337449,0.714285714,0.34375,0.240717029,6,0.116998187,0.142857143,0.654176949,1.091884566,0.300409153,1.33E-05,0.001899067,0.006993007,24,135,646,53,0.150943396,0.311688312,0.203389831,0.172855314,6,0.082231447,0.142857143,0.185314685,1.695610522,0.102123674,1.33E-05,0.001899067,0.006993007,0.991938112
ALLJURECZKO-velocity-1.4,cpdp,CLA,58,25,24,89,0.698795181,0.394557823,0.504347826,0.510204082,2,0.643715557,0.333333333,0.833987585,0.473097957,-0.101346797,2.45E-05,0.00239785,0.010204082,41,17,32,106,0.706896552,0.278911565,0.4,0.346938776,2,0.617993197,0.333333333,0.295918367,0.947715118,-0.064533591,2.45E-05,0.00239785,0.010204082,0.994527488
ALLJURECZKO-velocity-1.5,cpdp,CLA,72,18,54,70,0.8,0.507042254,0.620689655,0.25,5,0.65265099,0.166666667,0.844319828,0.600533396,0.246027041,9.50E-05,0.004064658,0.023364486,51,11,61,91,0.822580645,0.35915493,0.5,0.152777778,5,0.582493358,0.166666667,0.289719626,1.270284871,0.214958388,9.50E-05,0.004064658,0.023364486,0.975894319
ALLJURECZKO-velocity-1.6,cpdp,CLA,42,49,102,36,0.461538462,0.538461538,0.49704142,0.324503311,5,0.343850048,0.166666667,0.834087561,0.645569559,0.207207049,1.04E-04,0.004753385,0.021834061,28,35,116,50,0.444444444,0.358974359,0.397163121,0.231788079,5,0.293700363,0.166666667,0.27510917,1.317483866,0.134974498,1.04E-04,0.004753385,0.021834061,0.990405529
ALLJURECZKO-workflow,cpdp,CLA,10,4,15,10,0.714285714,0.5,0.588235294,0.210526316,0,0.705279245,1,0.754181818,0.662970106,0.301624673,0,0,0,5,2,17,15,0.714285714,0.25,0.37037037,0.105263158,0,0.73537415,1,0.179487179,1.623032688,0.188515421,0,0,0,0.858181818
ALLJURECZKO-wspomaganiepi,cpdp,CLA,9,1,5,3,0.9,0.75,0.818181818,0.166666667,0,0.952103175,1,0.831486368,0.901999154,0.553398591,0,0,0,4,0,6,8,1,0.333333333,0.5,0,0,1,1,0.222222222,1.549046322,0.377964473,0,0,0,0.968337731
ALLJURECZKO-xalan-2.4,cpdp,CLA,83,232,381,27,0.263492063,0.754545455,0.390588235,0.378466558,5,0.153107744,0.166666667,0.76728213,0.983400271,0.272408206,6.18E-06,8.93E-04,0.006915629,35,170,443,75,0.170731707,0.318181818,0.222222222,0.277324633,5,0.119447094,0.166666667,0.283540802,1.127120325,0.032557662,6.18E-06,8.93E-04,0.006915629,0.995610606
ALLJURECZKO-xalan-2.5,cpdp,CLA,204,158,258,183,0.563535912,0.527131783,0.544726302,0.379807692,3,0.456626083,0.25,0.633838483,0.831650013,0.147945697,9.19E-07,2.46E-04,0.00373599,130,129,287,257,0.501930502,0.335917313,0.40247678,0.310096154,3,0.426535516,0.25,0.322540473,1.042362346,0.027601237,9.19E-07,2.46E-04,0.00373599,0.99914715
ALLJURECZKO-xalan-2.6,cpdp,CLA,205,151,323,206,0.575842697,0.498783455,0.534550196,0.318565401,2,0.46031122,0.333333333,0.479869431,1.039414938,0.183297079,4.67E-07,2.06E-04,0.002259887,142,141,333,269,0.501766784,0.345498783,0.409221902,0.297468354,2,0.439826193,0.333333333,0.319774011,1.082594893,0.051361191,4.67E-07,2.06E-04,0.002259887,0.998015724
ALLJURECZKO-xalan-2.7,cpdp,CLA,350,0,11,548,1,0.389755011,0.560897436,0,0,1,1,0.451052957,0.864100335,0.087576239,0,0,0,284,0,11,614,1,0.316258352,0.480541455,0,0,1,1,0.312431243,1.017627812,0.074606615,0,0,0,0.994714797
ALLJURECZKO-xerces-1.0,cpdp,CLA,27,129,240,44,0.173076923,0.38028169,0.237885463,0.349593496,28,0.093091035,0.034482759,0.874144448,0.435033009,0.023598925,6.59E-04,0.010360807,0.063636364,16,103,266,55,0.134453782,0.225352113,0.168421053,0.279132791,28,0.073924897,0.034482759,0.270454545,0.840193493,-0.044539223,6.59E-04,0.010360807,0.063636364,0.991717633
ALLJURECZKO-xerces-1.2,cpdp,CLA,46,114,270,23,0.2875,0.666666667,0.401746725,0.296875,0,0.263956771,1,0.872784943,0.763838414,0.278005556,0,0,0,32,90,294,37,0.262295082,0.463768116,0.335078534,0.234375,0,0.261703982,1,0.269315673,1.756450002,0.185813227,0,0,0,0.980400371
ALLJURECZKO-xerces-1.3,cpdp,CLA,205,7,144,232,0.966981132,0.469107551,0.63174114,0.046357616,0,0.954171882,1,0.869563678,0.53947464,0.38463685,0,0,0,147,6,145,290,0.960784314,0.336384439,0.498305085,0.039735099,0,0.950655168,1,0.260204082,1.303854053,0.295380781,0,0,0,0.991500212
ALLJURECZKO-xerces-1.4,cpdp,CLA,28,27,58,49,0.509090909,0.363636364,0.424242424,0.317647059,12,0.281433591,0.076923077,0.857393241,0.424118533,0.048499631,8.71E-04,0.011761723,0.074074074,17,24,61,60,0.414634146,0.220779221,0.288135593,0.282352941,12,0.215308197,0.076923077,0.25308642,0.897251589,-0.070723803,8.71E-04,0.011761723,0.074074074,0.972243656
ALLJURECZKO-zuzel,cpdp,CLA,9,2,14,4,0.818181818,0.692307692,0.75,0.125,1,0.640325331,0.5,0.870813397,0.79501268,0.581457189,8.97E-04,0.026003745,0.034482759,3,1,15,10,0.75,0.230769231,0.352941176,0.0625,1,0.479166667,0.5,0.137931034,2.098038462,0.242681336,8.97E-04,0.026003745,0.034482759,0.797448166
MDP-CM1,cpdp,CLA,31,134,168,11,0.187878788,0.738095238,0.299516908,0.443708609,12,0.108529793,0.076923077,0.792308821,0.931575187,0.192920203,6.37E-04,0.018273888,0.034883721,9,75,227,33,0.107142857,0.214285714,0.142857143,0.248344371,12,0.072747172,0.076923077,0.244186047,0.878905564,-0.025955495,6.37E-04,0.018273888,0.034883721,0.998458829
MDP-JM1,cpdp,CLA,1233,3423,4411,526,0.264819588,0.700966458,0.384411535,0.436941537,6,0.173009686,0.142857143,0.86965892,0.806024571,0.204423856,7.35E-08,1.17E-04,6.25E-04,467,2019,5815,1292,0.187851971,0.265491757,0.220023557,0.257722747,6,0.135989902,0.142857143,0.259147295,1.02508424,0.006861146,7.35E-08,1.17E-04,6.25E-04,0.999412564
MDP-KC1,cpdp,CLA,280,746,1025,45,0.272904483,0.861538462,0.414507772,0.421230943,31,0.189045064,0.03125,0.948124449,0.908676559,0.318817016,3.52E-05,0.002383207,0.014790076,108,454,1317,217,0.192170819,0.332307692,0.243517475,0.256352343,31,0.158004331,0.03125,0.268129771,1.239596768,0.062062389,3.52E-05,0.002383207,0.014790076,0.99980412
MDP-KC3,cpdp,CLA,22,75,89,14,0.226804124,0.611111111,0.330827068,0.457317073,8,0.116981479,0.111111111,0.802329241,0.761671244,0.118224693,9.00E-04,0.022505508,0.04,4,43,121,32,0.085106383,0.111111111,0.096385542,0.262195122,8,0.068975926,0.111111111,0.235,0.480680851,-0.136897979,9.00E-04,0.022505508,0.04,0.983632358
MDP-MC1,cpdp,CLA,66,4144,5065,2,0.01567696,0.970588235,0.03085554,0.449994571,640,0.005082371,0.001560062,0.968102909,1.002567213,0.089195526,3.96E-05,5.75E-04,0.068987819,11,2774,6435,57,0.003949731,0.161764706,0.007711181,0.30122706,640,0.003432317,0.001560062,0.300204808,0.539157685,-0.025954689,3.96E-05,5.75E-04,0.068987819,0.999425278
MDP-MC2,cpdp,CLA,28,34,49,16,0.451612903,0.636363636,0.528301887,0.409638554,1,0.328571375,0.5,0.84610951,0.752105524,0.215830307,3.33E-05,0.004226705,0.007874016,10,19,64,34,0.344827586,0.227272727,0.273972603,0.228915663,1,0.258354155,0.5,0.228346457,1.031977107,-0.001862404,3.33E-05,0.004226705,0.007874016,0.964457253
MDP-MW1,cpdp,CLA,20,103,134,7,0.162601626,0.740740741,0.266666667,0.434599156,36,0.061373817,0.027027027,0.745539631,0.993563198,0.1859586,0.017010556,0.124744077,0.136363636,4,48,189,23,0.076923077,0.148148148,0.101265823,0.202531646,36,0.016894569,0.027027027,0.196969697,0.767056094,-0.041433688,0.017010556,0.124744077,0.136363636,0.980549868
